ID,F_Name,F_Type,Street,Town,OwnerTyp,ConsType,ConsJuri,P_Ground,B_Field,S_Field,F_Field,M_Field,B_Court,T_Court,V_Court,Track,SkatPark,IH_Rink,SH_Rink,Golf,Fishing,Boating,Hunting,Trails,Beach,Pool,ActiveRec,Lon,Lat
1933,Easton's Beach,LP,Memorial,Newport,MUN,EAS,FED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-71.29183197000,41.48795318000
1922,Jamestown Town Beach,LP,Beavertail,Jamestown,MUN,CIN,MUN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-71.38410949000,41.48891830000
1979,Cliff Walk,LP,Narragansett,Newport,MUN,CIN,MUN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71.29730987000,41.47589492000
2027,Indian Lake Playground,LP,Indian,South Kingstown,MUN,CIN,MUN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-71.46517944000,41.47392654000
2045,Mettatuxet Minipark,LP,Tupelo,Narragansett,MUN,CIN,MUN,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-71.44404602000,41.47089385000
2078,Sakonnet Harbor Beach,LP,Sakonnet Point,Little Compton,MUN,CIN,MUN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-71.19320678000,41.46371841000
2097,Frank Fagan Park,LP,Dam,South Kingstown,MUN,EAS,FED,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-71.50685882000,41.45324707000
2107,South Kingstown Village Green,LP,Kingstown,South Kingstown,MUN,DRS,MUN,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,-71.49438476000,41.45002365000
763,Cooney-tate Field,LP,Gansett,Cranston,MUN,CIN,STA,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-71.45267486000,41.78778457000
54,Dunn Park,LP,Mason,Woonsocket,MUN,EAS,FED,1,1,1,0,1,2,3,0,0,0,0,1,0,0,0,0,0,0,0,1,-71.53058624000,41.99774169000
789,Edgewood Park,LP,Narragansett,Cranston,MUN,EAS,FED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71.39504241000,41.78184509000
2136,Canonchet Farm,CA,Anne Hoxsie,Narragansett,MUN,EAS,FED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71.46091461000,41.43964767000
2142,Narragansett Town Beach,LP,Beach,Narragansett,MUN,CIN,MUN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-71.45525360000,41.43560791000
2152,Town Farm,LP,Dobson,South Kingstown,MUN,EAS,FED,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-71.49521636000,41.42999649000
2144,Briggs Memorial Park,LP,High,Hopkinton,MUN,CIN,MUN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71.78958892000,41.42932510000
