RIDOT MAP Bike Paths,Type,RIDOTbike15 FNODES,RIDOTbike15 Name,Link,OBJECTID,ID,Name,Type,Street,Town,OwnerTyp,Playground,Ball Field,Soccer Field,Football Field,Multi-use Field,Basketball Court,Tennis,Volleyball Court,Track,Skate Park,IH_Rink,SH_Rink,Golf,Fishing,Boating,Hunting,Trails,Beach,Pool,Active Rec,Lon,Lat,Rest Room,Walking Path,Bike Path,State Grant,LWCF Grant,Summary
,,,,,982,982,East Bay Bike Path,State Park,Bullocks Point,East Providence,State,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71.362556,41.772503,0,1,1,N,N,East Bay Bike Path is a State Park located in East Providence
,,,,,983,983,East Bay Bike Path,Local Park,Metropolitan Park,Barrington,State,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71.349008,41.753904,1,1,1,N,N,East Bay Bike Path is a Local Park located in Barrington
,,,,,984,984,East Bay Bike Path,State Park,Asylum,Bristol,State,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71.283955,41.68691,0,1,1,N,N,East Bay Bike Path is a State Park located in Bristol
Washington Secondary Bike Path,Bike Path,,,http://www.dot.ri.gov/community/bikeri/washington.php,985,985,Washington Secondary Bikepath,Local Park,Depot,Cranston,Municipal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71.44332,41.801425,0,1,1,N,N,Washington Secondary Bikepath is a Local Park located in Cranston
,,,,,986,986,Washington Secondary Bikepath,Local Park,Oak,Cranston,Municipal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71.454052,41.788599,0,1,1,N,N,Washington Secondary Bikepath is a Local Park located in Cranston
,,,,,987,987,Washington Secondary Bikepath,Local Park,Sherman,Cranston,Municipal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71.475857,41.758592,0,1,1,N,N,Washington Secondary Bikepath is a Local Park located in Cranston
,,,,,988,988,Washington Secondary Bikepath,Local Park,West Natick,Warwick,Municipal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71.484724,41.728942,0,1,1,N,N,Washington Secondary Bikepath is a Local Park located in Warwick
,,,,,989,989,Washington Secondary Bikepath,Local Park,Hay,West Warwick,Municipal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71.514932,41.715489,0,1,1,N,N,Washington Secondary Bikepath is a Local Park located in West Warwick
,,,,,990,990,Washington Secondary Bikepath,Local Park,Pilgrim,Coventry,Municipal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71.547552,41.694669,0,1,1,N,N,Washington Secondary Bikepath is a Local Park located in Coventry
,,,,,991,991,Washington Secondary Bikepath,Local Park,Pinehaven,Coventry,State,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71.618978,41.704143,0,1,1,N,N,Washington Secondary Bikepath is a Local Park located in Coventry
Quonset/Davisville Bike Path,Bike Path,,,http://www.dot.ri.gov/community/bikeri/quonset.php,992,992,Quonset Bike Path,Local Park,Newcomb,North Kingstown,State,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71.422128,41.620192,0,1,1,N,N,Quonset Bike Path is a Local Park located in North Kingstown
,,,,,993,993,Fred Lippitt Woonasquatucket River Greenway,Local Park,Valley,Providence,Municipal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71.440098,41.822726,0,1,1,N,N,Fred Lippitt Woonasquatucket River Greenway is a Local Park located in Providence
Fred Lippitt Woonasquatucket River Greenway,Bike Path,,,http://www.dot.ri.gov/community/bikeri/woonasquatucket.php,994,994,Fred Lippitt Woonasquatucket River Greenway,Local Park,Aleppo,Providence,Municipal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71.448103,41.819654,0,1,1,N,N,Fred Lippitt Woonasquatucket River Greenway is a Local Park located in Providence
,,,,,995,995,Fred Lippitt Woonasquatucket River Greenway,Local Park,Manton,Providence,Municipal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71.460442,41.826505,0,1,1,N,N,Fred Lippitt Woonasquatucket River Greenway is a Local Park located in Providence
,,,,,996,996,Fred Lippitt Woonasquatucket River Greenway,Local Park,Goldsmith,Johnston,Municipal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71.472959,41.834547,0,1,1,N,N,Fred Lippitt Woonasquatucket River Greenway is a Local Park located in Johnston
Warren Bike Path,Bike Path,,,http://www.dot.ri.gov/community/bikeri/warren.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
