OBJECTID,KeyID,Name,Type,Street,Town,OwnerTyp,ConsType,ConsJuri,Steward,Playground,Ball Field,Soccer Field,Football Field,Multi-use Field,Basketball Court,Tennis,Volleyball Court,Track,Skate Park,Ice Hockey Rink,Street Hockey Rink,Golf,Fishing,Boating,Hunting,Trails,Beach,Pool,Active Rec,RestRoom,Walking Path,Bike Path,StateGrant,LWCFGrant,Lon,Lat,Short_Description,Description,Additional_Names,GoRI_Incude_Suggestion,NoGoRI_Incude_Why,Dogs_Allowed,ADA,Stroller_Friendly,Picnic_Area,Acres_Miles,Contact_Info,Contact_Info_Seasonal,About_Links,Map_Links,GoRI_TestFlag,GoRI_subset
973,973,South County Bike Path,LP,Railroad,South Kingstown,MUN,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,N,N,-71.56230466350,41.48303700480,,,,,,,,,,,,,,,,Y
974,974,Blackstone Bikeway,SP,John,Lincoln,STA,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,N,N,-71.40089696070,41.90715992810,,,,,,,,,,,,,,,,Y
975,975,Blackstone Bikeway,SP,Lower River,Lincoln,STA,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,N,N,-71.43432990400,41.93764160830,,,,,,,,,,,,,,,,Y
976,976,Blackstone Bikeway,SP,Rte 295,Lincoln,STA,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,N,N,-71.44416746010,41.93954058780,,,,,,,,,,,,,,,,Y
977,977,Blackstone Bikeway,SP,School,Lincoln,STA,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,N,N,-71.45294412960,41.95310106710,,,,,,,,,,,,,,,,Y
978,978,Blackstone Bikeway,SP,New River,Lincoln,STA,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,N,N,-71.46697109380,41.96827038850,,,,,,,,,,,,,,,,Y
979,979,Blackstone Bikeway,SP,Davison Ext,Woonsocket,STA,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,N,N,-71.49423088970,41.99613113210,,,,,,,,,,,,,,,,Y
980,980,Ten Mile River Greenway,LP,Slater Memorial Park,Pawtucket,MUN,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,N,N,-71.34316793420,41.86831266820,,,,,,,,,,,,,,,,Y
981,981,East Bay Bike Path,SP,Veterans Parkway,East Providence,STA,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,N,N,-71.38839319770,41.81330494310,,,,,,,,,,,,,,,,Y
982,982,East Bay Bike Path,SP,Bullocks Point,East Providence,STA,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,N,N,-71.36255605160,41.77250279050,,,,,,,,,,,,,,,,Y
